clinical_significance	count
benign&other&benign/likely_benign	1
benign&pathogenic&benign/likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&risk_factor&not_provided	1
benign&risk_factor&protective	1
benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign&uncertain_significance&risk_factor	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_benign&pathogenic	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&benign&uncertain_significance&likely_benign	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&benign&uncertain_significance&likely_benign	1
benign/likely_benign&drug_response	1
benign/likely_benign&likely_benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&likely_benign&uncertain_significance	1
benign/likely_benign&uncertain_significance	1
benign/likely_benign&uncertain_significance&benign	1
benign/likely_benign&uncertain_significance&likely_benign&benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign&pathogenic	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&pathogenic&pathogenic/pathogenic&_low_penetrance	1
conflicting_classifications_of_pathogenicity&protective&benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&pathogenic	1
drug_response&conflicting_classifications_of_pathogenicity&benign	1
drug_response&likely_benign	1
drug_response&likely_benign&benign	1
drug_response&likely_benign&other	1
drug_response&risk_factor	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&uncertain_significance	1
likely_benign&benign/likely_benign&uncertain_significance&risk_factor&pathogenic	1
likely_benign&conflicting_classifications_of_pathogenicity&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign/likely_benign&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&likely_pathogenic&conflicting_classifications_of_pathogenicity&uncertain_significance&benign	1
likely_benign&not_provided&benign	1
likely_benign&not_provided&benign&uncertain_significance	1
likely_benign&pathogenic&benign	1
likely_benign&protective&benign&benign/likely_benign	1
likely_benign&risk_factor	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&benign&benign/likely_benign	1
likely_pathogenic&benign&likely_benign&benign/likely_benign	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_risk_allele	1
likely_risk_allele&association&benign&uncertain_significance	1
not_provided&association_not_found	1
not_provided&benign&benign/likely_benign	1
not_provided&benign/likely_benign&benign	1
not_provided&pathogenic	1
not_provided&risk_factor	1
other&protective&benign&risk_factor	1
other&risk_factor	1
pathogenic&benign/likely_benign	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance&benign	1
pathogenic/likely_pathogenic&pathogenic	1
protective&risk_factor	1
risk_factor&affects&benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
risk_factor&benign&uncertain_significance	1
risk_factor&pathogenic/likely_pathogenic&uncertain_significance&benign	1
risk_factor&uncertain_significance	1
uncertain_significance&association	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&drug_response&benign&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&not_provided	1
uncertain_significance&risk_factor&drug_response&affects	1
