clinvar_significance	count
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&pathogenic	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&drug_response	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic	1
likely_pathogenic&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&uncertain_significance&benign&conflicting_classifications_of_pathogenicity&pathogenic	1
likely_pathogenic&uncertain_significance&conflicting_classifications_of_pathogenicity	1
not_provided&association_not_found	1
not_provided&pathogenic	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_benign&benign&benign/likely_benign	1
pathogenic&likely_pathogenic	1
pathogenic&likely_pathogenic&pathogenic/likely_pathogenic	1
pathogenic&pathogenic&_low_penetrance&pathogenic/likely_pathogenic&risk_factor&not_provided	1
pathogenic&risk_factor	1
pathogenic&risk_factor&benign	1
pathogenic/likely_pathogenic&pathogenic	1
pathogenic/likely_pathogenic&pathogenic&pathogenic/pathogenic&_low_penetrance&risk_factor&likely_pathogenic	1
protective&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
uncertain_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&likely_pathogenic	1
uncertain_significance&not_provided	1
uncertain_significance&protective&likely_risk_allele&benign	1
uncertain_significance&risk_factor&benign	1
