clinvar_significance	count
uncertain_significance&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign/likely_benign&conflicting_classifications_of_pathogenicity&benign	1
uncertain_significance&benign/likely_benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&pathogenic&likely_benign&benign	1
uncertain_significance&drug_response&benign&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&likely_benign&benign&benign/likely_benign	1
uncertain_significance&not_provided&benign	1
uncertain_significance&pathogenic	1
