clinvar_significance	count
pathogenic&pathogenic/established_risk_allele&not_provided&uncertain_significance&likely_pathogenic&drug_response&association&risk_factor&conflicting_classifications_of_pathogenicity	1
pathogenic/likely_pathogenic&pathogenic	1
protective&benign	1
protective&pathogenic&uncertain_significance&other&likely_benign&drug_response	1
risk_factor&affects&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&likely_benign	1
risk_factor&benign&uncertain_significance	1
uncertain_significance&association	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&benign	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&conflicting_classifications_of_pathogenicity&benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&likely_benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&not_provided&benign	1
uncertain_significance&risk_factor&likely_benign	1
