gene_id	gene_symbol	synonyms	ensembl_gene_id 	uniprot	hg19_chromosome
85476	GFM1	COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1|mtEF-G1	ENSG00000168827	Q96RP9	chr3
25874	MPC2	BRP44|SLC54A2	ENSG00000143158	O95563	chr1
4719	NDUFS1	CI-75Kd|CI-75k|MC1DN5|PRO1304	ENSG00000023228|ENSG00000283447	P28331	chr2
26589	MRPL46	C15orf4|LIECG2|P2ECSL	ENSG00000259494	Q9H2W6	chr15
514	ATP5F1E	ATP5E|ATPE|MC5DN3	ENSG00000124172	P56381	chr20
5250	SLC25A3	OK/SW-cl.48|PHC|PTP	ENSG00000075415	Q00325	chr12
51649	MRPS23	CGI-138|COXPD46|HSPC329|MRP-S23	ENSG00000181610	Q9Y3D9	chr17
2271	FH	FMRD|HLRCC|HsFH|LRCC|MCL|MCUL1	ENSG00000091483	P07954	chr1
23203	PMPCA	Alpha-MPP|CLA1|CPD3|INPP5E|P-55|SCAR2	ENSG00000165688	Q10713	chr9
506	ATP5F1B	ATP5B|ATPMB|ATPSB|HEL-S-271	ENSG00000110955	P06576	chr12
135154	SDHAF4	C6orf57|Sdh8	ENSG00000154079	Q5VUM1	chr6
29796	UQCR10	HSPC051|HSPC119|HSPC151|QCR9|UCCR7.2|UCRC	ENSG00000184076	Q9UDW1	chr22
81689	ISCA1	HBLD2|ISA1|MMDS5|hIscA	ENSG00000135070	Q9BUE6	chr9
8803	SUCLA2	A-BETA|A-SCS|LINC00444|MTDPS5|SCS-betaA	ENSG00000136143	Q9P2R7	chr13
51805	COQ3	DHHBMT|DHHBMTASE|UG0215E05|bA9819.1	ENSG00000132423	Q9NZJ6	chr6
55699	IARS2	CAGSSS|ILERS	ENSG00000067704	Q9NSE4	chr1
64960	MRPS15	DC37|MPR-S15|RPMS15|S15mt	ENSG00000116898	P82914	chr1
3419	IDH3A	-	ENSG00000166411	P50213	chr15
1353	COX11	COX11P	ENSG00000166260	Q9Y6N1	chr17
2110	ETFDH	ETFQO|MADD	ENSG00000171503	Q16134	chr4
26519	TIMM10	TIM10|TIM10A|TIMM10A	ENSG00000134809	P62072	chr11
64981	MRPL34	L34mt	ENSG00000130312	Q9BQ48	chr19
51069	MRPL2	CGI-22|MRP-L14|RPML14	ENSG00000112651	Q5T653	chr6
593	BCKDHA	BCKDE1A|MSU|MSUD1|OVD1A	ENSG00000248098	P12694	chr19
7388	UQCRH	QCR6|UQCR8	ENSG00000173660	P07919	chr1
192286	HIGD2A	RCF1b	ENSG00000146066	Q9BW72	chr5
539	ATP5PO	ATP5O|ATPO|HMC08D05|OSCP	ENSG00000241837	P48047	chr21
1892	ECHS1	ECHS1D|SCEH	ENSG00000127884	P30084	chr10
25875	LETMD1	1110019O13Rik|HCCR|HCCR-1|HCCR-2|HCCR1|HCCR2|HCRR-2|SLC55A3	ENSG00000050426	Q6P1Q0	chr12
1337	COX6A1	CMTRID|COX6A|COX6AL	ENSG00000111775	P12074	chr12
1355	COX15	CEMCOX2	ENSG00000014919	Q7KZN9	chr10
10939	AFG3L2	OPA12|SCA28|SPAX5	ENSG00000141385	Q9Y4W6	chr18
3030	HADHA	ECHA|GBP|HADH|LCEH|LCHAD|MTPA|TP-ALPHA	ENSG00000084754	P40939	chr2
2108	ETFA	EMA|GA2|MADD	ENSG00000140374	P13804	chr15
374291	NDUFS7	CI-20|CI-20KD|MC1DN3|MY017|PSST	ENSG00000115286	O75251	chr19
1376	CPT2	CPT1|CPTASE|IIAE4	ENSG00000157184	P23786	chr1
594	BCKDHB	BCKDE1B|BCKDH E1-beta|E1B	ENSG00000083123	P21953	chr6
3420	IDH3B	RP46	ENSG00000101365	O43837	chr20
23395	LARS2	HLASA|LEURS|PRLTS4|mtLeuRS	ENSG00000011376	Q15031	chr3
35	ACADS	ACAD3|SCAD	ENSG00000122971	P16219	chr12
3954	LETM1	SLC55A1	ENSG00000168924	O95202	chr4
521	ATP5ME	ATP5I|ATP5K	ENSG00000169020	P56385	chr4
4976	OPA1	BERHS|MGM1|MTDPS14|NPG|NTG|largeG	ENSG00000198836	O60313	chr3
549	AUH	-	ENSG00000148090	Q13825	chr9
8802	SUCLG1	GALPHA|MTDPS9|SUCLA1	ENSG00000163541	P53597	chr2
4729	NDUFV2	CI-24k|MC1DN7	ENSG00000178127	P19404	chr18
51004	COQ6	CGI-10|CGI10|COQ10D6	ENSG00000119723	Q9Y2Z9	chr14
84545	MRPL43	L43mt|MRP-L43|bMRP36a	ENSG00000055950	Q8N983	chr10
83451	ABHD11	PP1226|WBSCR21	ENSG00000106077	Q8NFV4	chr7
522	ATP5PF	ATP5|ATP5A|ATP5J|ATPM|CF6|F6	ENSG00000154723	P18859	chr21
4714	NDUFB8	ASHI|CI-ASHI|MC1DN32	ENSG00000166136	O95169	chr10
9361	LONP1	CODASS|LON|LONP|LonHS|PIM1|PRSS15|hLON	ENSG00000196365	P36776	chr19
1738	DLD	DLDD|DLDH|E3|GCSL|LAD|OGDC-E3|PHE3	ENSG00000091140	P09622	chr7
9131	AIFM1	AIF|AUNX1|CMT2D|CMTX4|COWCK|COXPD6|DFNX5|NADMR|NAMSD|PDCD8|SEMDHL	ENSG00000156709	O95831	chrX
79746	ECHDC3	-	ENSG00000134463	Q96DC8	chr10
139322	APOOL	CXorf33|FAM121A|MICOS27|Mic27|UNQ8193	ENSG00000155008	Q6UXV4	chrX
124995	MRPL10	L10MT|MRP-L10|MRP-L8|MRPL8|RPML8	ENSG00000159111	Q7Z7H8	chr17
92399	MRRF	MRFF|MTRRF|RRF	ENSG00000148187	Q96E11	chr9
4728	NDUFS8	CI-23k|CI23KD|MC1DN2|TYKY	ENSG00000110717	O00217	chr11
34	ACADM	ACAD1|MCAD|MCADH	ENSG00000117054	P11310	chr1
10989	IMMT	HMP|MICOS60|MINOS2|Mic60|P87|P87/89|P89|PIG4|PIG52	ENSG00000132305	Q16891	chr2
26520	TIMM9	TIM9|TIM9A	ENSG00000100575	Q9Y5J7	chr14
291	SLC25A4	AAC1|ANT|ANT 1|ANT1|MTDPS12|MTDPS12A|PEO2|PEO3|PEOA2|T1	ENSG00000151729	P12235	chr4
25813	SAMM50	CGI-51|OMP85|SAM50|TOB55|TRG-3|YNL026W	ENSG00000100347	Q9Y512	chr22
4720	NDUFS2	CI-49|MC1DN6	ENSG00000158864	O75306	chr1
4723	NDUFV1	CI-51K|CI51KD|MC1DN4|UQOR1	ENSG00000167792	P49821	chr11
50	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	ENSG00000100412	Q99798	chr22
6832	SUPV3L1	SUV3	ENSG00000156502	Q8IYB8	chr10
2235	FECH	EPP|EPP1|FCE	ENSG00000066926	P22830	chr18
4528	MTIF2	-	ENSG00000085760	P46199	chr2
5245	PHB	HEL-215|HEL-S-54e|PHB1	ENSG00000167085	P35232	chr17
26275	HIBCH	HIBYLCOAH	ENSG00000198130	Q6NVY1	chr2
51116	MRPS2	CGI-91|COXPD36|MRP-S2|S2mt	ENSG00000122140	Q9Y399	chr9
3313	HSPA9	CRP40|CSA|EVPLS|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74|SAAN|SIDBA4	ENSG00000113013	P38646	chr5
6834	SURF1	CMT4K	ENSG00000148290|ENSG00000280627	Q15526	chr9
10935	PRDX3	AOP-1|AOP1|HBC189|MER5|PRO1748|SP-22|prx-III	ENSG00000165672	P30048	chr10
27069	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	ENSG00000165678	Q9H3K2	chr10
60558	GUF1	EF-4|EF4|EIEE40	ENSG00000151806	Q8N442	chr4
26517	TIMM13	TIM13|TIM13B|TIMM13A|TIMM13B|ppv1	ENSG00000099800	Q9Y5L4	chr19
57128	LYRM4	C6orf149|CGI-203|COXPD19|ISD11	ENSG00000214113	Q9HD34	chr6
54948	MRPL16	L16mt|MRP-L16|PNAS-111	ENSG00000166902	Q9NX20	chr11
64976	MRPL40	L40mt|MRP-L22|MRP-L40|MRPL22|NLVCF|URIM	ENSG00000185608	Q9NQ50	chr22
3421	IDH3G	H-IDHG	ENSG00000067829	P51553	chrX
6391	SDHC	CYB560|CYBL|PGL3|QPS1|SDH3	ENSG00000143252	Q99643	chr1
4711	NDUFB5	CISGDH|SGDH	ENSG00000136521	O43674	chr3
54949	SDHAF2	C11orf79|PGL2|SDH5	ENSG00000167985	Q9NX18	chr11
93058	COQ10A	-	ENSG00000135469	Q96MF6	chr12
8209	GATD3A	C21orf33|ES1|GATD3|GT335|HES1|KNPH|KNPI	ENSG00000160221	P30042	chr21
25828	TXN2	COXPD29|MT-TRX|MTRX|TRX2|TXN	ENSG00000100348	Q99757	chr22
55168	MRPS18A	HumanS18b|MRP-S18-3|MRP-S18-a|MRPS18-3|S18bmt|S18mt-a	ENSG00000096080	Q9NVS2	chr6
1345	COX6C	-	ENSG00000164919	P09669	chr8
4715	NDUFB9	B22|CI-B22|LYRM3|MC1DN24|UQOR22	ENSG00000147684	Q9Y6M9	chr8
23788	MTCH2	HSPC032|MIMP|SLC25A50	ENSG00000109919|ENSG00000285121	Q9Y6C9	chr11
4700	NDUFA6	B14|CI-B14|LYRM6|MC1DN33|NADHB14	ENSG00000184983|ENSG00000272765|ENSG00000273397|ENSG00000277365|ENSG00000281013	P56556	chr22
788	SLC25A20	CAC|CACT	ENSG00000178537	O43772	chr3
65008	MRPL1	BM022|L1MT|MRP-L1	ENSG00000169288	Q9BYD6	chr4
10469	TIMM44	TIM44	ENSG00000104980	O43615	chr19
10063	COX17	-	ENSG00000138495	Q14061	chr3
440574	MICOS10	C1orf151|MINOS1|MIO10|Mic10	ENSG00000173436	Q5TGZ0	chr1
6648	SOD2	GClnc1|IPO-B|IPOB|MNSOD|MVCD6|Mn-SOD	ENSG00000112096|ENSG00000285441	P04179	chr6
1340	COX6B1	COX6B|COXG|COXVIb1	ENSG00000126267	P14854	chr19
7416	VDAC1	PORIN|VDAC-1	ENSG00000213585	P21796	chr5
8192	CLPP	DFNB81|PRLTS3	ENSG00000125656	Q16740	chr19
3033	HADH	HAD|HADH1|HADHSC|HCDH|HHF4|MSCHAD|SCHAD	ENSG00000138796	Q16836	chr4
33	ACADL	ACAD4|LCAD	ENSG00000115361	P28330	chr2
38	ACAT1	ACAT|MAT|T2|THIL	ENSG00000075239	P24752	chr11
115416	MALSU1	C7orf30|mtRsfA	ENSG00000156928	Q96EH3	chr7
10845	CLPX	EPP2	ENSG00000166855	O76031	chr15
4724	NDUFS4	AQDQ|CI-18|CI-18 kDa|CI-AQDQ|MC1DN1	ENSG00000164258	O43181	chr5
51073	MRPL4	CGI-28|L4mt	ENSG00000105364	Q9BYD3	chr19
708	C1QBP	COXPD33|GC1QBP|HABP1|SF2AP32|SF2p32|gC1Q-R|gC1qR|p32	ENSG00000108561	Q07021	chr17
10531	PITRM1	MP1|PreP	ENSG00000107959	Q5JRX3	chr10
55245	UQCC1	BFZB|C20orf44|CBP3|UQCC	ENSG00000101019	Q9NVA1	chr20
128308	MRPL55	AAVG5835|L55nt|MRP-L55|PRO19675	ENSG00000162910	Q7Z7F7	chr1
79922	MRM1	-	ENSG00000274853|ENSG00000278619	Q6IN84	chr17
51102	MECR	CGI-63|DYTOABG|ETR1|FASN2B|NRBF1	ENSG00000116353	Q9BV79	chr1
65080	MRPL44	COXPD16|L44MT|MRP-L44	ENSG00000135900	Q9H9J2	chr2
84263	HSDL2	C9orf99|SDR13C1	ENSG00000119471	Q6YN16	chr9
63931	MRPS14	COXPD38|DJ262D12.2|HSMRPS14|MRP-S14|S14mt	ENSG00000120333	O60783	chr1
11194	ABCB8	EST328128|M-ABC1|MABC1|MITOSUR	ENSG00000197150	Q9NUT2	chr7
91647	ATPAF2	ATP12|ATP12p|LP3663|MC5DN1	ENSG00000171953	Q8N5M1	chr17
4704	NDUFA9	CC6|CI-39k|CI39k|COQ11|MC1DN26|NDUFS2L|SDR22E1	ENSG00000139180	Q16795	chr12
388753	COA6	C1orf31|CEMCOX4	ENSG00000168275	Q5JTJ3	chr1
5442	POLRMT	APOLMT|MTRNAP|MTRPOL|h-mtRPOL	ENSG00000099821	O00411	chr19
23479	ISCU	2310020H20Rik|HML|ISU2|NIFU|NIFUN|hnifU	ENSG00000136003	Q9H1K1	chr12
84816	RTN4IP1	NIMP|OPA10	ENSG00000130347	Q8WWV3	chr6
55753	OGDHL	-	ENSG00000197444	Q9ULD0	chr10
509	ATP5F1C	ATP5C|ATP5C1|ATP5CL1	ENSG00000165629	P36542	chr10
10295	BCKDK	BCKDKD|BDK	ENSG00000103507	O14874	chr16
84340	GFM2	EF-G2mt|EFG2|MRRF2|MST027|MSTP027|RRF|RRF2|RRF2mt|hEFG2|mEF-G 2	ENSG00000164347	Q969S9	chr5
29078	NDUFAF4	C6orf66|HRPAP20|HSPC125|MC1DN15|My013|bA22L21.1	ENSG00000123545	Q9P032	chr6
399512	SLC25A35	-	ENSG00000125434	Q3KQZ1	chr17
8402	SLC25A11	OGC|PGL6|SLC20A4	ENSG00000108528	Q02978	chr17
26521	TIMM8B	DDP2|TIM8B	ENSG00000150779	Q9Y5J9	chr11
27349	MCAT	FASN2C|MCT|MCT1|MT|NET62|fabD	ENSG00000100294	Q8IVS2	chr22
200205	IBA57	C1orf69|MMDS3|SPG74	ENSG00000181873	Q5T440	chr1
11331	PHB2	BAP|BCAP37|Bap37|PNAS-141|REA|hBAP|p22	ENSG00000215021	Q99623	chr12
7818	DAP3	DAP-3|MRP-S29|MRPS29|S29mt|bMRP-10	ENSG00000132676	P51398	chr1
56942	CMC2	2310061C15Rik|C16orf61|DC13	ENSG00000103121	Q9NRP2	chr16
644096	SDHAF1	LYRM8	ENSG00000205138	A6NFY7	chr19
51373	MRPS17	HSPC011|MRP-S17|RPMS17|S17mt	ENSG00000239789	Q9Y2R5	chr7
137872	ADHFE1	ADH8|HMFT2263|HOT	ENSG00000147576	Q8IWW8	chr8
9054	NFS1	HUSSY-08|IscS|NIFS	ENSG00000244005	Q9Y697	chr20
79133	NDUFAF5	C20orf7|MC1DN16|bA526K24.2|dJ842G6.1	ENSG00000101247	Q5TEU4	chr20
63875	MRPL17	L17mt|LIP2|MRP-L17|MRP-L26|RPL17L|RPML26	ENSG00000158042	Q9NRX2	chr11
51204	TACO1	CCDC44	ENSG00000136463	Q9BSH4	chr17
55669	MFN1	hfzo1|hfzo2	ENSG00000171109	Q8IWA4	chr3
160760	PPTC7	TA-PP2C|TAPP2C	ENSG00000196850	Q8NI37	chr12
65003	MRPL11	CGI-113|L11MT|MRP-L11	ENSG00000174547	Q9Y3B7	chr11
1327	COX4I1	COX IV-1|COX4|COX4-1|COXIV|COXIV-1	ENSG00000131143	P13073	chr16
4726	NDUFS6	CI-13kA|CI-13kD-A|CI13KDA|MC1DN9	ENSG00000145494	O75380	chr5
28998	MRPL13	L13|L13A|L13mt|RPL13|RPML13	ENSG00000172172	Q9BYD1	chr8
5019	OXCT1	OXCT|SCOT	ENSG00000083720	P55809	chr5
1329	COX5B	COXVB	ENSG00000135940	P10606	chr2
5164	PDK2	PDHK2|PDKII	ENSG00000005882	Q15119	chr17
211	ALAS1	ALAS|ALAS-H|ALAS3|ALASH|MIG4	ENSG00000023330	P13196	chr3
9553	MRPL33	C2orf1|L33mt|MRP-L33|RPL33L	ENSG00000243147	O75394	chr2
25821	MTO1	CGI-02|COXPD10	ENSG00000135297	Q9Y2Z2	chr6
11019	LIAS	HGCLAS|HUSSY-01|LAS|LIP1|LS|PDHLD	ENSG00000121897	O43766	chr4
4698	NDUFA5	B13|CI-13KD-B|CI-13kB|NUFM|UQOR13	ENSG00000128609	Q16718	chr7
4712	NDUFB6	B17|CI	ENSG00000165264	O95139	chr9
10651	MTX2	metaxin-2	ENSG00000128654	O75431	chr2
8801	SUCLG2	G-SCS|GBETA|GTPSCS	ENSG00000172340	Q96I99	chr3
2230	FDX1	ADX|FDX|LOH11CR1D	ENSG00000137714	P10109	chr11
6576	SLC25A1	CMS23|CTP|D2L2AD|SEA|SLC20A3	ENSG00000100075	P53007	chr22
28957	MRPS28	COXPD47|HSPC007|MRP-S28|MRP-S35|MRPS35	ENSG00000147586	Q9Y2Q9	chr8
92609	TIMM50	MGCA9|TIM50|TIM50L	ENSG00000105197	Q3ZCQ8	chr19
7417	VDAC2	POR	ENSG00000165637	P45880	chr10
284439	SLC25A42	MECREN	ENSG00000181035	Q86VD7	chr19
54543	TOMM7	TOM7	ENSG00000196683	Q9P0U1	chr7
1891	ECH1	HPXEL	ENSG00000104823|ENSG00000282853	Q13011	chr19
5188	GATB	COXPD41|HSPC199|PET112|PET112L	ENSG00000059691	O75879	chr4
617	BCS1L	BCS|BCS1|BJS|FLNMS|GRACILE|Hs.6719|MC3DN1|PTD|h-BCS|h-BCS1	ENSG00000074582	Q9Y276	chr2
26284	ERAL1	CEGA|ERA|ERA-W|ERAL1A|ERAL1B|H-ERA|HERA-A|HERA-B|PRLTS6	ENSG00000132591	O75616	chr17
152100	CMC1	C3orf68	ENSG00000187118	Q7Z7K0	chr3
10573	MRPL28	MAAT1|p15	ENSG00000086504	Q13084	chr16
10102	TSFM	EFTS|EFTSMT	ENSG00000123297	P43897	chr12
2395	FXN	CyaY|FA|FARR|FRDA|X25	ENSG00000165060	Q16595	chr9
27247	NFU1	CGI-33|HIRIP|HIRIP5|MMDS1|NIFUC|Nfu|NifU	ENSG00000169599	Q9UMS0	chr2
51067	YARS2	CGI-04|MLASA2|MT-TYRRS|TYRRS	ENSG00000139131	Q9Y2Z4	chr12
219927	MRPL21	L21mt|MRP-L21	ENSG00000197345	Q7Z2W9	chr11
8659	ALDH4A1	ALDH4|P5CD|P5CDh	ENSG00000159423	P30038	chr1
84134	TOMM40L	TOMM40B	ENSG00000158882	Q969M1	chr1
51103	NDUFAF1	CGI-65|CGI65|CIA30|MC1DN11	ENSG00000137806	Q9Y375	chr15
4716	NDUFB10	PDSW	ENSG00000140990	O96000	chr16
36	ACADSB	2-MEBCAD|ACAD7|SBCAD	ENSG00000196177	P45954	chr10
64965	MRPS9	MRP-S9|RPMS9|S9mt	ENSG00000135972	P82933	chr2
56997	COQ8A	ADCK3|ARCA2|CABC1|COQ10D4|COQ8|SCAR9	ENSG00000163050	Q8NI60	chr1
37	ACADVL	ACAD6|LCACD|VLCAD	ENSG00000072778	P49748	chr17
51117	COQ4	CGI-92|COQ10D7	ENSG00000167113	Q9Y3A0	chr9
29088	MRPL15	HSPC145|L15mt|MRP-L15|MRP-L7|RPML7	ENSG00000137547	Q9P015	chr8
4695	NDUFA2	B8|CD14|CIB8|MC1DN13	ENSG00000131495	O43678	chr5
79590	MRPL24	L24mt|MRP-L18|MRP-L24	ENSG00000143314	Q96A35	chr1
3329	HSPD1	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	ENSG00000144381	P10809	chr2
4725	NDUFS5	CI-15k|CI15K	ENSG00000168653	O43920	chr1
50808	AK3	AK3L1|AK6|AKL3L|AKL3L1|FIX	ENSG00000147853	Q9UIJ7	chr9
54205	CYCS	CYC|HCS|THC4	ENSG00000172115	P99999	chr7
4285	MIPEP	COXPD31|HMIP|MIP	ENSG00000027001	Q99797	chr13
90624	LYRM7	C5orf31|MC3DN8|MZM1L	ENSG00000186687	Q5U5X0	chr5
1384	CRAT	CAT|CAT1|NBIA8	ENSG00000095321	P43155	chr9
5096	PCCB	-	ENSG00000114054	P05166	chr3
51081	MRPS7	COXPD34|MRP-S|MRP-S7|RP-S7|RPMS7|S7mt|bMRP27a	ENSG00000125445	Q9Y2R9	chr17
11222	MRPL3	COXPD9|MRL3|RPML3	ENSG00000114686	P09001	chr3
5625	PRODH	HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6	ENSG00000100033	O43272	chr22
5095	PCCA	-	ENSG00000175198	P05165	chr13
56922	MCCC1	MCC-B|MCCA	ENSG00000078070	Q96RQ3	chr3
6183	MRPS12	MPR-S12|MT-RPS12|RPMS12|RPS12|RPSM12	ENSG00000128626|ENSG00000283018	O15235	chr19
81570	CLPB	ANKCLB|HSP78|MEGCANN|MGCA7|SKD3	ENSG00000162129	Q9H078	chr11
5163	PDK1	-	ENSG00000152256	Q15118	chr2
740	MRPL49	C11orf4|L49mt|MRP-L49|NOF|NOF1	ENSG00000149792	Q13405	chr11
1347	COX7A2	COX7AL|COX7AL1|COXVIIAL|COXVIIa-L|VIIAL	ENSG00000112695	P14406	chr6
84233	TMEM126A	OPA7	ENSG00000171202	Q9H061	chr11
55268	ECHDC2	-	ENSG00000121310	Q86YB7	chr1
3052	HCCS	CCHL|LSDMCA1|MCOPS7|MLS	ENSG00000004961	P53701	chrX
11112	HIBADH	NS5ATP1	ENSG00000106049	P31937	chr7
9801	MRPL19	L19mt|MRP-L15|MRP-L19|MRPL15|RLX1|RPML15	ENSG00000115364	P49406	chr2
64979	MRPL36	BRIP1|L36mt|MRP-L36|PRPL36|RPMJ	ENSG00000171421	Q9P0J6	chr5
253512	SLC25A30	KMCP1	ENSG00000174032	Q5SVS4	chr13
622	BDH1	BDH|SDR9C1	ENSG00000161267|ENSG00000275544	Q02338	chr3
10667	FARS2	COXPD14|FARS1|HSPC320|PheRS|SPG77|mtPheRS	ENSG00000145982	O95363	chr6
22	ABCB7	ABC7|ASAT|Atm1p|EST140535	ENSG00000131269	O75027	chrX
4580	MTX1	MTX|MTXN	ENSG00000173171	Q13505	chr1
4701	NDUFA7	B14.5a|CI-B14.5a	ENSG00000267855	O95182	chr19
10440	TIMM17A	TIM17|TIM17A	ENSG00000134375	Q99595	chr1
223	ALDH9A1	ALDH4|ALDH7|ALDH9|E3|TMABA-DH|TMABADH|TMABALDH	ENSG00000143149	P49189	chr1
51023	MRPS18C	CGI-134|MRP-S18-1|MRP-S18-c|MRPS18-1|S18mt-c|mrps18-c	ENSG00000163319	Q9Y3D5	chr4
92935	MARS2	COXPD25|MetRS|mtMetRS	ENSG00000247626	Q96GW9	chr2
4329	ALDH6A1	MMSADHA|MMSDH	ENSG00000119711	Q02252	chr14
2232	FDXR	ADR|ADXR|ANOA	ENSG00000161513	P22570	chr17
283459	GATC	15E1.2|COXPD42	ENSG00000257218	O43716	chr12
10131	TRAP1	HSP 75|HSP75|HSP90L|TRAP-1	ENSG00000126602	Q12931	chr16
27034	ACAD8	ACAD-8|ARC42|IBDH	ENSG00000151498	Q9UKU7	chr11
217	ALDH2	ALDH-E2|ALDHI|ALDM	ENSG00000111275	P05091	chr12
10105	PPIF	CYP3|CyP-M|Cyp-D|CypD	ENSG00000108179	P30405	chr10
29928	TIMM22	COXPD43|TEX4|TIM22	ENSG00000177370|ENSG00000277649|ENSG00000278501	Q9Y584	chr17
3712	IVD	ACAD2	ENSG00000128928	P26440	chr15
79944	L2HGDH	C14orf160|L2HGA	ENSG00000087299	Q9H9P8	chr14
23474	ETHE1	HSCO|YF13H12	ENSG00000105755	O95571	chr19
55052	MRPL20	L20mt|MRP-L20	ENSG00000242485	Q9BYC9	chr1
292	SLC25A5	2F1|AAC2|ANT2|T2|T3	ENSG00000005022	P05141	chrX
8604	SLC25A12	AGC1|ARALAR|EIEE39	ENSG00000115840	O75746	chr2
54460	MRPS21	MDS016|MRP-S21|RPMS21	ENSG00000266472	P82921	chr1
56993	TOMM22	1C9-2|MST065|MSTP065|TOM22	ENSG00000100216	Q9NS69	chr22
10449	ACAA2	DSAEC	ENSG00000167315	P42765	chr18
51263	MRPL30	L28MT|L30MT|MRP-L28|MRP-L30|MRPL28|MRPL28M|RPML28	ENSG00000185414	Q8TCC3	chr2
9093	DNAJA3	HCA57|TID1|hTID-1	ENSG00000103423|ENSG00000276726	Q96EY1	chr16
4708	NDUFB2	AGGG|CI-AGGG	ENSG00000090266	O95178	chr7
65993	MRPS34	COXPD32|MRP-S12|MRP-S34|MRPS12	ENSG00000074071	P82930	chr16
2109	ETFB	FP585|MADD	ENSG00000105379	P38117	chr19
246269	AFG1L	AFG1|LACE1|c222389	ENSG00000135537	Q8WV93	chr6
93974	ATP5IF1	ATPI|ATPIF1|ATPIP|IP	ENSG00000130770|ENSG00000285390	Q9UII2	chr1
515	ATP5PB	ATP5F1|PIG47	ENSG00000116459	P24539	chr1
1350	COX7C	-	ENSG00000127184	P15954	chr5
54927	CHCHD3	MICOS19|MINOS3|Mic19|PPP1R22	ENSG00000106554	Q9NX63	chr7
80219	COQ10B	-	ENSG00000115520	Q9H8M1	chr2
197322	ACSF3	-	ENSG00000176715	Q4G176	chr16
