clinvar_significance	count
benign&protective&uncertain_risk_allele	1
benign&risk_factor&association	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_risk_allele	1
benign&uncertain_significance&likely_benign&benign/likely_benign	1
benign&uncertain_significance&pathogenic&risk_factor&likely_benign&benign/likely_benign	1
benign&uncertain_significance&risk_factor	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&uncertain_significance&likely_benign	1
benign/likely_benign&likely_benign&benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&likely_benign&benign&protective	1
benign/likely_benign&likely_benign&benign&uncertain_significance	1
benign/likely_benign&uncertain_significance	1
benign/likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
confers_sensitivity	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&risk_factor	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&benign&uncertain_risk_allele	1
drug_response&likely_benign	1
drug_response&likely_benign&benign	1
drug_response&likely_benign&other	1
likely_benign&benign&benign/likely_benign&pathogenic	1
likely_benign&benign&benign/likely_benign&uncertain_significance	1
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&benign&pathogenic	1
likely_benign&benign/likely_benign&benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_benign&benign/likely_benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign/likely_benign&not_provided&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&benign/likely_benign	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&drug_response	1
likely_benign&protective&benign&benign/likely_benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&pathogenic	1
likely_risk_allele&association&benign&uncertain_significance	1
likely_risk_allele&benign&conflicting_classifications_of_pathogenicity	1
not_provided&association_not_found	1
not_provided&benign&benign/likely_benign	1
not_provided&conflicting_classifications_of_pathogenicity&likely_benign&benign&uncertain_significance	1
not_provided&likely_benign	1
not_provided&pathogenic	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic&benign&affects	1
pathogenic&conflicting_classifications_of_pathogenicity	1
pathogenic&likely_benign&uncertain_significance	1
pathogenic&other	1
pathogenic&pathogenic&_low_penetrance&pathogenic/likely_pathogenic&risk_factor&not_provided	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance	1
protective&risk_factor	1
risk_factor&affects&benign	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&likely_benign	1
risk_factor&uncertain_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&benign/likely_benign&likely_benign	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&likely_benign&likely_pathogenic&risk_factor	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign&benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&likely_benign&benign/likely_benign	1
uncertain_significance&not_provided&benign	1
uncertain_significance&risk_factor&likely_benign	1
